"journal_sk","journal_title","journal_iso_abbreviation"
934,"Cytogenetics and cell genetics","Cytogenet Cell Genet"
935,"Disease-a-month : DM","Dis Mon"
936,"Endocrinologia experimentalis","Endocrinol Exp"
937,"Environmental quality and safety. Supplement","Environ Qual Saf Suppl"
938,"Diabetes","Diabetes"
939,"Gastroenterologische Fortbildungskurse fur die Praxis","Gastroenterol Fortbildungskurse Prax"
940,"Genetika","Genetika"
941,"Gynakologische Rundschau","Gynakol Rundsch"
942,"Hospital progress","Hosp Prog"
943,"International journal of psychiatry in medicine","Int J Psychiatry Med"
944,"Helvetica chirurgica acta","Helv Chir Acta"
945,"Helvetica odontologica acta","Helv Odontol Acta"
946,"The Journal of asthma research","J Asthma Res"
947,"Journal of abnormal child psychology","J Abnorm Child Psychol"
948,"Journal of the American Podiatry Association","J Am Podiatry Assoc"
949,"Journal of gerontology","J Gerontol"
950,"The Journal of heredity","J Hered"
951,"The Journal of laryngology and otology","J Laryngol Otol"
952,"Journal of neural transmission","J Neural Transm"
953,"Journal of the neurological sciences","J Neurol Sci"
954,"Journal of oral pathology","J Oral Pathol"
955,"The Journal of pathology","J Pathol"
956,"Journal of pharmacokinetics and biopharmaceutics","J Pharmacokinet Biopharm"
957,"Journal of the Mississippi State Medical Association","J Miss State Med Assoc"
958,"Japanese circulation journal","Jpn Circ J"
959,"Masui. The Japanese journal of anesthesiology","Masui"
960,"Laboratory animal science","Lab Anim Sci"
961,"The Medical clinics of North America","Med Clin North Am"
962,"The Lamp","Lamp"
963,"Lijecnicki vjesnik","Lijec Vjesn"
964,"Meditsinskaia tekhnika","Med Tekh"
965,"Minerva pediatrica","Minerva Pediatr"
966,"Die Nahrung","Nahrung"
967,"NATNews","NATNEWS"
968,"Neurosciences Research Program bulletin","Neurosci Res Program Bull"
969,"Nutrition and metabolism","Nutr Metab"
970,"Pediatric annals","Pediatr Ann"
971,"Patologicheskaia fiziologiia i eksperimental'naia terapiia","Patol Fiziol Eksp Ter"
972,"Nucleic acids research","Nucleic Acids Res"
973,"Polski przeglad radiologii i medycyny nuklearnej","Pol Przegl Radiol Med Nukl"
974,"Problemy gematologii i perelivaniia krovi","Probl Gematol Pereliv Krovi"
975,"Primary care","Prim Care"
976,"Psychosomatics","Psychosomatics"
977,"Progress in liver diseases","Prog Liver Dis"
978,"Przeglad lekarski","Przegl Lek"
979,"AMB : revista da Associacao Medica Brasileira","AMB Rev Assoc Med Bras"
980,"Revista da Escola de Enfermagem da U S P","Rev Esc Enferm USP"
981,"Roczniki Panstwowego Zakladu Higieny","Rocz Panstw Zakl Hig"
982,"Scandinavian journal of respiratory diseases","Scand J Respir Dis"
983,"Semaine des hopitaux. Therapeutique","Sem Hop Ther"
984,"Society for Applied Bacteriology symposium series","Soc Appl Bacteriol Symp Ser"
985,"Transplantation reviews","Transplant Rev"
986,"Tsitologiia","Tsitologiia"
987,"Transactions of the American Neurological Association","Trans Am Neurol Assoc"
988,"West African journal of pharmacology and drug research","West Afr J Pharmacol Drug Res"
989,"Wiener medizinische Wochenschrift. Supplement","Wien Med Wochenschr Suppl"
990,"Xenobiotica; the fate of foreign compounds in biological systems","Xenobiotica"
991,"Zeitschrift fur Erkrankungen der Atmungsorgane","Z Erkr Atmungsorgane"
992,"Verhandlungen der Deutschen Gesellschaft fur Innere Medizin","Verh Dtsch Ges Inn Med"
993,"Medical journal of Zambia","Med J Zambia"
994,"Acta medica Austriaca","Acta Med Austriaca"
995,"AANA journal","AANA J"
996,"Acta microbiologica Academiae Scientiarum Hungaricae","Acta Microbiol Acad Sci Hung"
997,"Acta microbiologica Polonica. Series B: Microbiologia applicata","Acta Microbiol Pol B"
998,"Advances in cardiology","Adv Cardiol"
999,"Advances in carbohydrate chemistry and biochemistry","Adv Carbohydr Chem Biochem"
1000,"Annals of human genetics","Ann Hum Genet"
1001,"Annales d'immunologie","Ann Immunol (Paris)"
1002,"Archives de biologie","Arch Biol (Liege)"
1003,"Annali Sclavo; rivista di microbiologia e di immunologia","Ann Sclavo"
1004,"Arizona medicine","Ariz Med"
1005,"The Australasian nurses journal","Australas Nurses J"
1006,"Biophysical journal","Biophys J"
1007,"Bruxelles medical","Brux Med"
1008,"Ceskoslovenska farmacie","Cesk Farm"
1009,"Ceskoslovenske zdravotnictvi","Cesk Zdrav"
1010,"Clinics in endocrinology and metabolism","Clin Endocrinol Metab"
1011,"Clinical toxicology","Clin Toxicol"
1012,"Cryobiology","Cryobiology"
1013,"Comprehensive psychiatry","Compr Psychiatry"
1014,"Chirurgia e patologia sperimentale","Chir Patol Sper"
1015,"Ciba Foundation symposium","Ciba Found Symp"
1016,"Deutsche Zeitschrift fur Verdauungs- und Stoffwechselkrankheiten","Dtsch Z Verdau Stoffwechselkr"
1017,"Ethics in science & medicine","Ethics Sci Med"
1018,"Fiziolohichnyi zhurnal","Fiziol Zh"
1019,"Harefuah","Harefuah"
1020,"Frontiers of gastrointestinal research","Front Gastrointest Res"
1021,"Horizons in biochemistry and biophysics","Horiz Biochem Biophys"
1022,"Indian journal of pediatrics","Indian J Pediatr"
1023,"International journal of leprosy and other mycobacterial diseases : official organ of the International Leprosy Association","Int J Lepr Other Mycobact Dis"
1024,"Journal of the American Veterinary Medical Association","J Am Vet Med Assoc"
1025,"Journal of educational psychology","J Educ Psychol"
1026,"Journal of the American Dental Association (1939)","J Am Dent Assoc"
1027,"The Journal of hygiene","J Hyg (Lond)"
1028,"Journal of invertebrate pathology","J Invertebr Pathol"
1029,"The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society","J La State Med Soc"
1030,"Japanese heart journal","Jpn Heart J"
1031,"The Japanese journal of experimental medicine","Jpn J Exp Med"
1032,"JACEP","JACEP"
1033,"Journal of the Tennessee Medical Association","J Tenn Med Assoc"
1034,"Mayo Clinic proceedings","Mayo Clin Proc"
1035,"Middle East journal of anaesthesiology","Middle East J Anaesthesiol"
1036,"Midwife, health visitor & community nurse","Midwife Health Visit Community Nurse"
1037,"Mikrobiyoloji bulteni","Mikrobiyol Bul"
1038,"Medical hypotheses","Med Hypotheses"
1039,"The Medical letter on drugs and therapeutics","Med Lett Drugs Ther"
1040,"Mycologia","Mycologia"
1041,"Nagoya journal of medical science","Nagoya J Med Sci"
1042,"The Netherlands journal of medicine","Neth J Med"
1043,"Pathologia et microbiologia","Pathol Microbiol (Basel)"
1044,"La Pediatria","Pediatria (Napoli)"
1045,"Nursing research","Nurs Res"
1046,"Poultry science","Poult Sci"
1047,"Problemy kosmicheskoi biologii","Probl Kosm Biol"
1048,"Problemy tuberkuleza","Probl Tuberk"
1049,"Physiological reviews","Physiol Rev"
1050,"Psychological medicine","Psychol Med"
1051,"Psychological bulletin","Psychol Bull"
1052,"Plucne bolesti i tuberkuloza","Plucne Bolesti Tuberk"
1053,"The Quarterly review of biology","Q Rev Biol"
1054,"Progress in neurobiology","Prog Neurobiol"
1055,"Respiration; international review of thoracic diseases","Respiration"
1056,"Rivista di neurologia","Riv Neurol"
1057,"Seminars in hematology","Semin Hematol"
1058,"Texas reports on biology and medicine","Tex Rep Biol Med"
1059,"Therapeutische Umschau. Revue therapeutique","Ther Umsch"
1060,"Topics in current chemistry","Top Curr Chem"
1061,"Turk hijiyen ve tecrubi biyoloji dergisi","Turk Hij Tecr Biyol Derg"
1062,"Zeitschrift fur die gesamte Hygiene und ihre Grenzgebiete","Z Gesamte Hyg"
1063,"Vascular surgery","Vasc Surg"
1064,"Vestnik dermatologii i venerologii","Vestn Dermatol Venerol"
1065,"Papua and New Guinea medical journal","P N G Med J"
1066,"Zeitschrift fur Rechtsmedizin. Journal of legal medicine","Z Rechtsmed"
1067,"Zahn-, Mund-, und Kieferheilkunde mit Zentralblatt","Zahn Mund Kieferheilkd Zentralbl"
1068,"Acta obstetricia et gynecologica Scandinavica. Supplement","Acta Obstet Gynecol Scand Suppl"
1069,"Acta oto-laryngologica. Supplementum","Acta Otolaryngol Suppl"
1070,"Advances in protein chemistry","Adv Protein Chem"
1071,"American family physician","Am Fam Physician"
1072,"The American journal of pathology","Am J Pathol"
1073,"Anaesthesia and intensive care","Anaesth Intensive Care"
1074,"Annales medico-psychologiques","Ann Med Psychol (Paris)"
1075,"Annales de medecine interne","Ann Med Interne (Paris)"
1076,"Annual review of medicine","Annu Rev Med"
1077,"Annual review of pharmacology and toxicology","Annu Rev Pharmacol Toxicol"
1078,"Annals of tropical medicine and parasitology","Ann Trop Med Parasitol"
1079,"Archivio di chirurgia toracica e cardiovascolare","Arch Chir Torac Cardiovasc"
1080,"Archives francaises des maladies de l'appareil digestif","Arch Fr Mal App Dig"
1081,"Archiv fur Psychiatrie und Nervenkrankheiten","Arch Psychiatr Nervenkr (1970)"
1082,"The Australian journal of experimental biology and medical science","Aust J Exp Biol Med Sci"
1083,"Behaviour research and therapy","Behav Res Ther"
1084,"Bibliotheca nutritio et dieta","Bibl Nutr Dieta"
1085,"Arthritis and rheumatism","Arthritis Rheum"
1086,"The British journal of social and clinical psychology","Br J Soc Clin Psychol"
1087,"The British journal of radiology","Br J Radiol"
1088,"Cardiovascular research","Cardiovasc Res"
1089,"Chemistry and physics of lipids","Chem Phys Lipids"
1090,"Bulletin de la Societe de pathologie exotique et de ses filiales","Bull Soc Pathol Exot Filiales"
1091,"Cold Spring Harbor symposia on quantitative biology","Cold Spring Harb Symp Quant Biol"
1092,"Current medical research and opinion","Curr Med Res Opin"
1093,"Danish medical bulletin","Dan Med Bull"
1094,"European neurology","Eur Neurol"
1095,"Experientia. Supplementum","Experientia Suppl"
1096,"Frontiers of biology","Front Biol"
1097,"Theriogenology","Theriogenology"
1098,"Haematologica","Haematologica"
1099,"Grudnaia khirurgiia (Moscow, Russia)","Grudn Khir"
1100,"Haematologia","Haematologia (Budap)"
1101,"Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme","Horm Metab Res"
1102,"International journal of radiation biology and related studies in physics, chemistry, and medicine","Int J Radiat Biol Relat Stud Phys Chem Med"
1103,"Journal belge de rhumatologie et de medecine physique = Belgisch tijdschrift voor reumatologie en fysische geneeskunde","J Belge Rhumatol Med Phys"
1104,"The Journal of communication","J Commun"
1105,"Journal of comparative pathology","J Comp Pathol"
1106,"The Journal of family practice","J Fam Pract"
1107,"Journal of public health dentistry","J Public Health Dent"
1108,"The Journal of microwave power","J Microw Power"
1109,"Journal - Water Pollution Control Federation","J Water Pollut Control Fed"
1110,"Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology","Nihon Shokakibyo Gakkai Zasshi"
1111,"Josanpu zasshi = The Japanese journal for midwife","Josanpu Zasshi"
1112,"Kango kenkyu. The Japanese journal of nursing research","Kango Kenkyu"
1113,"Nihon juigaku zasshi. The Japanese journal of veterinary science","Nihon Juigaku Zasshi"
1114,"The Journal of school health","J Sch Health"
1115,"Macromolecules","Macromolecules"
1116,"Nouvelle revue francaise d'hematologie","Nouv Rev Fr Hematol"
1117,"Phlebologie","Phlebologie"
1118,"Psychotherapie, medizinische Psychologie","Psychother Med Psychol (Stuttg)"
1119,"Progress in medicinal chemistry","Prog Med Chem"
1120,"Revue belge de medecine dentaire. Belgisch tijdschrift voor tandheelkunde","Rev Belge Med Dent"
1121,"Revista espanola de las enfermedades del aparato digestivo","Rev Esp Enferm Apar Dig"
1122,"Revista de chirurgie, oncologie, radiologie, o. r. l., oftalmologie, stomatologie. Seria: Oftalmologie","Rev Chir Oncol Radiol O R L Oftalmol Stomatol Ser Oftalmol"
1123,"Scandinavian journal of immunology","Scand J Immunol"
1124,"Therapia Hungarica (English edition)","Ther Hung"
1125,"Transactions - American Society for Artificial Internal Organs","Trans Am Soc Artif Intern Organs"
1126,"Vestnik otorinolaringologii","Vestn Otorinolaringol"
1127,"Virchows Archiv. A, Pathological anatomy and histology","Virchows Arch A Pathol Anat Histol"
1128,"Verhandlungen der Deutschen Gesellschaft fur Kreislaufforschung","Verh Dtsch Ges Kreislaufforsch"
1129,"Zhurnal ushnykh, nosovykh i gorlovykh boleznei = The journal of otology, rhinology, and laryngologie [sic]","Zh Ushn Nos Gorl Bolezn"
1130,"Zhurnal obshchei biologii","Zh Obshch Biol"
1131,"Acta hepato-gastroenterologica","Acta Hepatogastroenterol (Stuttg)"
1132,"Acta physiologica Scandinavica. Supplementum","Acta Physiol Scand Suppl"
1133,"Acta medica Iranica","Acta Med Iran"
1134,"Advances in genetics","Adv Genet"
1135,"Agressologie: revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression","Agressologie"
1136,"Annual review of biophysics and bioengineering","Annu Rev Biophys Bioeng"
1137,"Australian family physician","Aust Fam Physician"
1138,"Basic life sciences","Basic Life Sci"
1139,"Bibliotheca anatomica","Bibl Anat"
1140,"Atherosclerosis","Atherosclerosis"
1141,"Boletin medico del Hospital Infantil de Mexico","Bol Med Hosp Infant Mex"
1142,"British journal of diseases of the chest","Br J Dis Chest"
1143,"The British journal of ophthalmology","Br J Ophthalmol"
1144,"The British veterinary journal","Br Vet J"
1145,"Cell","Cell"
1146,"Ceskoslovenska dermatologie","Cesk Dermatol"
1147,"Clinical endocrinology","Clin Endocrinol (Oxf)"
1148,"Clinics in perinatology","Clin Perinatol"
1149,"Current problems in dermatology","Curr Probl Dermatol"
1150,"Endocrinologia japonica","Endocrinol Jpn"
1151,"Eksperimental'naia khirurgiia i anesteziologiia","Eksp Khir Anesteziol"
1152,"Nihon Naibunpi Gakkai zasshi","Nihon Naibunpi Gakkai Zasshi"
1153,"Dermatologica","Dermatologica"
1154,"IPPF medical bulletin","IPPF Med Bull"
1155,"General and comparative endocrinology","Gen Comp Endocrinol"
1156,"The International journal of applied radiation and isotopes","Int J Appl Radiat Isot"
1157,"Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Beiheft","Int Z Vitam Ernahrungsforsch Beih"
1158,"Investigative radiology","Invest Radiol"
1159,"The Hastings Center report","Hastings Cent Rep"
1160,"Health visitor","Health Visit"
1161,"Journal of the American Venereal Disease Association","J Am Vener Dis Assoc"
1162,"Journal of bioenergetics","J Bioenerg"
1163,"Journal of the Canadian Association of Radiologists","J Can Assoc Radiol"
1164,"Journal of the American Oil Chemists' Society","J Am Oil Chem Soc"
1165,"Journal of the Maryland State Dental Association","J Md State Dent Assoc"
1166,"Journal - Forensic Science Society","J Forensic Sci Soc"
1167,"The Journal of general psychology","J Gen Psychol"
1168,"The Journal of prosthetic dentistry","J Prosthet Dent"
1169,"Nihon Heikatsukin Gakkai zasshi","Nihon Heikatsukin Gakkai Zasshi"
1170,"The Japanese journal of surgery","Jpn J Surg"
1171,"Laryngologie, Rhinologie, Otologie","Laryngol Rhinol Otol (Stuttg)"
1172,"Das Medizinische Laboratorium","Med Lab (Stuttg)"
1173,"Bulletin (National Clearinghouse for Poison Control Centers (U.S.))","Bull Natl Clgh Poison Control Cent"
1174,"Neurochirurgia","Neurochirurgia (Stuttg)"
1175,"The Nurse practitioner","Nurse Pract"
1176,"Proceedings of the Clinical Dialysis and Transplant Forum","Proc Clin Dial Transplant Forum"
1177,"Psychopharmacology","Psychopharmacology (Berl)"
1178,"Progress in food & nutrition science","Prog Food Nutr Sci"
1179,"Revue d'odonto-stomatologie","Rev Odontostomatol (Paris)"
1180,"Revue de stomatologie et de chirurgie maxillo-faciale","Rev Stomatol Chir Maxillofac"
1181,"Scandinavian journal of rheumatology. Supplement","Scand J Rheumatol Suppl"
1182,"Tissue antigens","Tissue Antigens"
1183,"Tropical doctor","Trop Doct"
1184,"The Veterinary clinics of North America","Vet Clin North Am"
1185,"Vox sanguinis","Vox Sang"
1186,"Voprosy revmatizma","Vopr Revm"
1187,"Zeitschrift fur Alternsforschung","Z Alternsforsch"
1188,"Zeitschrift fur Gastroenterologie","Z Gastroenterol"
1189,"Zentralblatt fur Veterinarmedizin. Reihe B. Journal of veterinary medicine. Series B","Zentralbl Veterinarmed B"
1190,"Acta biochimica et biophysica; Academiae Scientiarum Hungaricae","Acta Biochim Biophys Acad Sci Hung"
1191,"Acta ophthalmologica","Acta Ophthalmol (Copenh)"
1192,"Acta pathologica et microbiologica Scandinavica. Section C, Immunology","Acta Pathol Microbiol Scand C"
1193,"Acta psychiatrica Belgica","Acta Psychiatr Belg"
1194,"The American journal of nursing","Am J Nurs"
1195,"Aktuelle Probleme in der Chirurgie","Aktuelle Probl Chir"
1196,"Andrologia","Andrologia"
1197,"Annals of clinical and laboratory science","Ann Clin Lab Sci"
1198,"Annual review of biochemistry","Annu Rev Biochem"
1199,"Archives belges de medecine sociale, hygiene, medecine du travail et medecine legale. Belgisch archief van sociale geneeskunde, hygiene, arbeidsgeneeskunde en gerechtelijke geneeskunde","Arch Belg Med Soc"
1200,"Archivio italiano di anatomia e di embriologia. Italian journal of anatomy and embryology","Arch Ital Anat Embriol"
1201,"Behavioral biology","Behav Biol"
1202,"Behavioral neuropsychiatry","Behav Neuropsychiatry"
1203,"Boletin de la Asociacion Medica de Puerto Rico","Bol Asoc Med P R"
1204,"Bollettino della Societa italiana di cardiologia","Boll Soc Ital Cardiol"
1205,"L'Ateneo parmense. Acta bio-medica : organo della Societa di medicina e scienze naturali di Parma","Ateneo Parmense Acta Biomed"
1206,"British journal of clinical pharmacology","Br J Clin Pharmacol"
1207,"Biological psychiatry","Biol Psychiatry"
1208,"Biophysics of structure and mechanism","Biophys Struct Mech"
1209,"British poultry science","Br Poult Sci"
1210,"Canadian journal of public health = Revue canadienne de sante publique","Can J Public Health"
1211,"Cell differentiation","Cell Differ"
1212,"Cleveland Clinic quarterly","Cleve Clin Q"
1213,"Clinical notes on respiratory diseases","Clin Notes Respir Dis"
1214,"European journal of intensive care medicine","Eur J Intensive Care Med"
1215,"European journal of clinical pharmacology","Eur J Clin Pharmacol"
1216,"Experimentelle Pathologie","Exp Pathol (Jena)"
1217,"Giornale di clinica medica","G Clin Med"
1218,"General pharmacology","Gen Pharmacol"
1219,"Journal of bioenergetics and biomembranes","J Bioenerg Biomembr"
1220,"Journal of cell science","J Cell Sci"
1221,"Journal of clinical pathology. Supplement (Royal College of Pathologists)","J Clin Pathol Suppl (R Coll Pathol)"
1222,"Journal of the American Psychoanalytic Association","J Am Psychoanal Assoc"
1223,"Journal of immunogenetics","J Immunogenet"
1224,"Seikagaku. The Journal of Japanese Biochemical Society","Seikagaku"
1225,"The Journal of the Kentucky Medical Association","J Ky Med Assoc"
1226,"The Journal of the Maine Medical Association","J Maine Med Assoc"
1227,"Journal of the Medical Association of Georgia","J Med Assoc Ga"
1228,"JFORL. Journal francais d'oto-rhino-laryngologie; audiophonologie et chirurgie maxillo-faciale","JFORL J Fr Otorhinolaryngol Audiophonol Chir Maxillofac"
1229,"The Journal of genetic psychology","J Genet Psychol"
1230,"Journal of neurophysiology","J Neurophysiol"
1231,"The Journal of otolaryngology","J Otolaryngol"
1232,"Japanese journal of microbiology","Jpn J Microbiol"
1233,"Modern problems of pharmacopsychiatry","Mod Probl Pharmacopsychiatry"
1234,"National Institute on Drug Abuse research monograph series","Natl Inst Drug Abuse Res Monogr Ser"
1235,"Minerva gastroenterologica","Minerva Gastroenterol"
1236,"Oral sciences reviews","Oral Sci Rev"
1237,"Patologia polska","Patol Pol"
1238,"Problemes actuels d'endocrinologie et de nutrition","Probl Actuels Endocrinol Nutr"
1239,"Progress in clinical and biological research","Prog Clin Biol Res"
1240,"Pharmakopsychiatrie, Neuro-Psychopharmakologie","Pharmakopsychiatr Neuropsychopharmakol"
1241,"Psychophysiology","Psychophysiology"
1242,"Radiologic clinics of North America","Radiol Clin North Am"
1243,"Review of Czechoslovak medicine","Rev Czech Med"
1244,"Reconstruction surgery and traumatology","Reconstr Surg Traumatol"
1245,"Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi","Rev Med Chir Soc Med Nat Iasi"
1246,"Rheumatology and rehabilitation","Rheumatol Rehabil"
1247,"Revista de igiena, bacteriologie, virusologie, parazitologie, epidemiologie, pneumoftiziologie. Bacteriologia, virusologia, parazitologia, epidemiologia","Rev Ig Bacteriol Virusol Parazitol Epidemiol Pneumoftiziol Bacteriol Virusol Parazitol Epidemiol"
1248,"Rivista di istochimica, normale e patologica","Riv Istochim Norm Patol"
1249,"Endocrinologie","Endocrinologie"
1250,"Sangre","Sangre (Barc)"
1251,"Thorax","Thorax"
1252,"Thrombosis and haemostasis","Thromb Haemost"
1253,"Transactions of the American Association of Genito-Urinary Surgeons","Trans Am Assoc Genitourin Surg"
1254,"Wisconsin medical journal","Wis Med J"
1255,"VASA. Zeitschrift fur Gefasskrankheiten","Vasa"
1256,"Sozial- und Praventivmedizin","Soz Praventivmed"
1257,"Advances in psychobiology","Adv Psychobiol"
1258,"Allergie und Immunologie","Allerg Immunol (Leipz)"
1259,"Angewandte Chemie (International ed. in English)","Angew Chem Int Ed Engl"
1260,"Archives des maladies du coeur et des vaisseaux","Arch Mal Coeur Vaiss"
1261,"Biochemical Society symposium","Biochem Soc Symp"
1262,"Bulletin of the Pan American Health Organization","Bull Pan Am Health Organ"
1263,"British medical bulletin","Br Med Bull"
1264,"Bratislavske lekarske listy","Bratisl Lek Listy"
1265,"Ceskoslovenska radiologie","Cesk Radiol"
1266,"Clinical and experimental pharmacology & physiology","Clin Exp Pharmacol Physiol"
1267,"Clinics in haematology","Clin Haematol"
1268,"Connecticut medicine","Conn Med"
1269,"Contraception","Contraception"
1270,"CRC critical reviews in clinical radiology and nuclear medicine","CRC Crit Rev Clin Radiol Nucl Med"
1271,"Ergonomics","Ergonomics"
1272,"European journal of immunology","Eur J Immunol"
1273,"Giornale italiano di cardiologia","G Ital Cardiol"
1274,"Gastroenterologia Japonica","Gastroenterol Jpn"
1275,"Health & social work","Health Soc Work"
1276,"Fukuoka igaku zasshi = Hukuoka acta medica","Fukuoka Igaku Zasshi"
1277,"Health laboratory science","Health Lab Sci"
1278,"Health education","Health Educ"
1279,"Journal of community health","J Community Health"
1280,"Journal of the Royal College of Physicians of London","J R Coll Physicians Lond"
1281,"Major problems in internal medicine","Major Probl Intern Med"
1282,"Medicina cutanea ibero-latino-americana","Med Cutan Ibero Lat Am"
1283,"Microbios","Microbios"
1284,"Michigan medicine","Mich Med"
1285,"Odontologisk revy","Odontol Revy"
1286,"Panminerva medica","Panminerva Med"
1287,"Proceedings - Royal Society of Edinburgh. Section B: Natural environment","Proc R Soc Edinb Nat Environ"
1288,"Revue francaise de transfusion et immuno-hematologie","Rev Fr Transfus Immunohematol"
1289,"Scientia Sinica","Sci Sin"
1290,"Singapore medical journal","Singapore Med J"
1291,"Tropenmedizin und Parasitologie","Tropenmed Parasitol"
1292,"TSitologiia i genetika","Tsitol Genet"
1293,"Zentralblatt fur Bakteriologie, Parasitenkunde, Infektionskrankheiten und Hygiene. Erste Abteilung Originale. Reihe B: Hygiene, praventive Medizin","Zentralbl Bakteriol Orig B"
1294,"Acta chirurgica Belgica","Acta Chir Belg"
1295,"Advances in prostaglandin and thromboxane research","Adv Prostaglandin Thromboxane Res"
1296,"Advances in surgery","Adv Surg"
1297,"The American journal of medicine","Am J Med"
1298,"Anatomischer Anzeiger","Anat Anz"
1299,"Anales espanoles de odontoestomatologia","An Esp Odontoestomatol"
1300,"Annales Universitatis Saraviensis. Medizin","Ann Univ Sarav Med"
1301,"Annual review of microbiology","Annu Rev Microbiol"
1302,"Archives francaises de pediatrie","Arch Fr Pediatr"
1303,"Archiv fur orthopadische und Unfall-Chirurgie","Arch Orthop Unfallchir"
1304,"Beitrage zur Silikose-Forschung (Pneumokoniose)","Beitr Silikoseforsch Pneumokoniose"
1305,"Bibliotheca cardiologica","Bibl Cardiol"
1306,"Bulletin on narcotics","Bull Narc"
1307,"Ceskoslovenska epidemiologie, mikrobiologie, imunologie","Cesk Epidemiol Mikrobiol Imunol"
1308,"Ceskoslovenska stomatologie","Cesk Stomatol"
1309,"Community mental health journal","Community Ment Health J"
1310,"Current psychiatric therapies","Curr Psychiatr Ther"
1311,"Medycyna weterynaryjna","Med Weter"
1312,"Folia histochemica et cytochemica","Folia Histochem Cytochem (Krakow)"
1313,"Fortschritte der Chemie organischer Naturstoffe = Progress in the chemistry of organic natural products. Progres dans la chimie des substances organiques naturelles","Fortschr Chem Org Naturst"
1314,"Immunitat und Infektion","Immun Infekt"
1315,"Indian journal of medical sciences","Indian J Med Sci"
1316,"International journal of biometeorology","Int J Biometeorol"
1317,"International journal of epidemiology","Int J Epidemiol"
1318,"Journal of continuing education in nursing","J Contin Educ Nurs"
1319,"Journal of the American Dietetic Association","J Am Diet Assoc"
1320,"The Journal of the Dental Association of Thailand","J Dent Assoc Thai"
1321,"Journal of occupational medicine. : official publication of the Industrial Medical Association","J Occup Med"
1322,"Journal of oral surgery (American Dental Association : 1965)","J Oral Surg"
1323,"Journal of neuropathology and experimental neurology","J Neuropathol Exp Neurol"
1324,"Journal of the Royal College of Surgeons of Edinburgh","J R Coll Surg Edinb"
1325,"Journal of toxicology and environmental health. Supplement","J Toxicol Environ Health Suppl"
1326,"Klinische Anasthesiologie und Intensivtherapie","Klin Anasthesiol Intensivther"
1327,"Medical laboratory sciences","Med Lab Sci"
1328,"NIDA research monograph","NIDA Res Monogr"
1329,"Ortopediia travmatologiia i protezirovanie","Ortop Travmatol Protez"
1330,"Osterreichische Zeitschrift fur Onkologie. Austrian journal of oncology","Osterr Z Onkol"
1331,"Paroi arterielle","Paroi Arterielle"
1332,"Pediatric clinics of North America","Pediatr Clin North Am"
1333,"The Pavlovian journal of biological science","Pavlov J Biol Sci"
1334,"Pediatrie","Pediatrie"
1335,"NLN publications","NLN Publ"
1336,"Proceedings of the Western Pharmacology Society","Proc West Pharmacol Soc"
1337,"Pielegniarka i polozna","Pieleg Polozna"
1338,"Psychoneuroendocrinology","Psychoneuroendocrinology"
1339,"Revista de chirurgie, oncologie, radiologie, o.r.l., oftalmologie, stomatologie. Chirurgie","Rev Chir Oncol Radiol O R L Oftalmol Stomatol Chir"
1340,"Revista de pediatrie, obstetrica si ginecologie. Pediatria","Rev Pediatr Obstet Ginecol Pediatr"
1341,"South Dakota journal of medicine","S D J Med"
1342,"Seminars in oncology","Semin Oncol"
1343,"Voprosy biokhimii mozga","Vopr Biokhim Mozga"
1344,"Voprosy okhrany materinstva i detstva","Vopr Okhr Materin Det"
1345,"Zeitschrift fur experimentelle Chirurgie","Z Exp Chir"
1346,"Acta histochemica","Acta Histochem"
1347,"Acta gastro-enterologica Belgica","Acta Gastroenterol Belg"
1348,"Acta obstetricia et gynecologica Scandinavica","Acta Obstet Gynecol Scand"
1349,"Acta pathologica japonica","Acta Pathol Jpn"
1350,"Advances in applied microbiology","Adv Appl Microbiol"
1351,"Adolescence","Adolescence"
1352,"Advances in child development and behavior","Adv Child Dev Behav"
1353,"Arztliche Jugendkunde","Arztl Jugendkd"
1354,"Acta urologica Belgica","Acta Urol Belg"
1355,"American journal of hematology","Am J Hematol"
1356,"American journal of ophthalmology","Am J Ophthalmol"
1357,"American Nurses Association Publications","ANA Publ"
1358,"Anais da Academia Brasileira de Ciencias","An Acad Bras Cienc"
1359,"AORN journal","AORN J"
1360,"Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin. Erganzungsband","Fortschr Geb Rontgenstrahlen Nuklearmed Erganzungsbd"
1361,"Beitrage zur tropischen Landwirtschaft und Veterinarmedizin","Beitr Trop Landwirtsch Veterinarmed"
1362,"British journal of sports medicine","Br J Sports Med"
1363,"Brain : a journal of neurology","Brain"
1364,"Canadian journal of genetics and cytology. Journal canadien de genetique et de cytologie","Can J Genet Cytol"
1365,"Canadian journal of comparative medicine : Revue canadienne de medecine comparee","Can J Comp Med"
1366,"Cancer treatment reports","Cancer Treat Rep"
1367,"Ceskoslovenska psychiatrie","Cesk Psychiatr"
